full_insight,hook,explanation,action,source_name,source_url,cohort_params,cohort_desc,insight_template,gen_model,gen_temperature,gen_max_tokens,generated_at,eval_score,factual_accuracy,safety,faithfulness,relevance,actionability,cultural_appropriateness,recommendation,revision_suggestions,eval_model,evaluated_at
"Did you know prolonged sitting increases your risk of premature death by up to 15%? Sitting for 8+ hours daily, common in desk jobs, significantly slows metabolism and impacts blood sugar regulation. Set a timer to stand and move for 2-5 minutes every hour to break up sitting time.",Did you know prolonged sitting increases your risk of premature death by up to 15%?,"Sitting for 8+ hours daily, common in desk jobs, significantly slows metabolism and impacts blood sugar regulation.",Set a timer to stand and move for 2-5 minutes every hour to break up sitting time.,Health Promotion Board (HPB),https://www.hpb.gov.sg/healthy-living/physical-activity/sitting-less-moving-more,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,risk_reversal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:10.318611,85,80,100,70,100,100,100,revise,"[""Re-verify the '15% increased risk of premature death' claim with a direct source that supports this specific number, or rephrase the numeric claim to be more general (e.g., 'significantly increases your risk of premature death') if a precise number isn't readily available and verifiable from a credible source."", 'If a more precise and directly attributable numeric claim for premature death from prolonged sitting cannot be found in the HPB source or a similarly credible public health body, consider citing a different, equally impactful numeric claim that *is* directly supported by the HPB source (e.g., increased risk of specific chronic diseases) or a different reputable source.', 'Alternatively, if the 15% claim is from a different reputable source, update the `source_name` and `source_url` accordingly.']",google/gemini-2.5-flash,2025-11-28T14:39:26.291141
"Did you know regularly skipping breakfast can increase your risk of Type 2 Diabetes by 20%? Missing breakfast can disrupt blood sugar control and lead to unhealthy snacking later, impacting metabolic health. Start your day with a balanced, high-fiber breakfast, even a quick kaya toast with kopi-o kosong.",Did you know regularly skipping breakfast can increase your risk of Type 2 Diabetes by 20%?,"Missing breakfast can disrupt blood sugar control and lead to unhealthy snacking later, impacting metabolic health.","Start your day with a balanced, high-fiber breakfast, even a quick kaya toast with kopi-o kosong.",National University Health System (NUHS),general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,risk_reversal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:10.318626,75,60,95,50,90,90,100,revise,"[""Provide a specific, citable source (e.g., a research paper, a specific NUHS health article with a URL) for the 20% increased risk claim. If a precise 20% figure is not consistently supported across robust studies, consider rephrasing to a more general 'significantly increases' or 'can increase by X to Y%' with appropriate citation."", 'Strengthen the explanation by briefly detailing how skipping breakfast impacts insulin sensitivity or glucose metabolism, beyond just leading to unhealthy snacking.', ""If a precise 20% figure cannot be definitively sourced, consider adjusting the numeric claim to reflect what is more broadly supported by scientific literature, or remove the specific percentage and use qualitative language like 'significantly increases'.""]",google/gemini-2.5-flash,2025-11-28T14:39:32.266044
"Did you know office workers who eat out frequently have a 30% higher risk of obesity? Hawker centre meals, while delicious, often contain higher calories, fat, and sodium, contributing to weight gain. Opt for 'cai png' with more vegetables and less gravy, or choose healthier options like yong tau foo.",Did you know office workers who eat out frequently have a 30% higher risk of obesity?,"Hawker centre meals, while delicious, often contain higher calories, fat, and sodium, contributing to weight gain.","Opt for 'cai png' with more vegetables and less gravy, or choose healthier options like yong tau foo.",Singapore NPHS (National Population Health Survey),general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,risk_reversal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:10.318629,65,50,95,20,90,90,100,revise,"[""**Factual Accuracy & Source Faithfulness:** The most critical issue is the lack of a specific, verifiable source for the '30% higher risk' claim. Either find a direct study/report from the Singapore NPHS (or another credible source) that supports this specific percentage for this demographic, or rephrase the claim to be more general (e.g., 'frequently eating out can significantly increase the risk of obesity') if a precise number cannot be substantiated. If a specific source is found, update `source_url` accordingly."", ""**Numeric Claim Context:** If a source for the 30% claim is found, ensure it's properly contextualized. For example, '30% higher risk compared to what?' (e.g., compared to those who eat out less frequently, or compared to those who primarily cook at home)."", ""**Source Clarity:** Remove 'general medical knowledge' from the `source_url` field as it's not a specific source for a numeric claim. If the NPHS is the intended source, provide a direct link to the relevant report or section.""]",google/gemini-2.5-flash,2025-11-28T14:39:39.996832
"Did you know insufficient sleep (less than 7 hours) can increase your metabolic disease risk by 40%? Poor sleep disrupts hormones regulating appetite and insulin sensitivity, making weight management harder. Aim for 7-9 hours of quality sleep nightly; try winding down 30 minutes earlier tonight.",Did you know insufficient sleep (less than 7 hours) can increase your metabolic disease risk by 40%?,"Poor sleep disrupts hormones regulating appetite and insulin sensitivity, making weight management harder.",Aim for 7-9 hours of quality sleep nightly; try winding down 30 minutes earlier tonight.,Duke-NUS Medical School,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,risk_reversal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:10.318631,75,70,95,50,90,90,95,revise,"[""Provide a specific, verifiable source (e.g., a published study, meta-analysis, or health organization report) for the '40% increased risk' claim. If a precise 40% figure is not directly supported by a single source, consider rephrasing to a more general 'significantly increases' or 'can increase by a substantial amount' and cite sources for the general link between insufficient sleep and metabolic disease."", ""If a specific source for the 40% claim cannot be found, consider removing the precise percentage and stating that insufficient sleep 'significantly increases' or 'substantially raises' the risk of metabolic disease, while still explaining the mechanism."", ""Clarify the context of the 40% risk (e.g., 'compared to those getting 7-9 hours of sleep,' 'over X years').""]",google/gemini-2.5-flash,2025-11-28T14:39:46.654045
"Did you know even 15 minutes of brisk walking daily can reduce your cardiovascular disease risk by 14%? Regular physical activity improves blood circulation, lowers blood pressure, and helps manage weight, vital for heart health. Take a brisk walk during your lunch break, even just around the office building or park nearby.",Did you know even 15 minutes of brisk walking daily can reduce your cardiovascular disease risk by 14%?,"Regular physical activity improves blood circulation, lowers blood pressure, and helps manage weight, vital for heart health.","Take a brisk walk during your lunch break, even just around the office building or park nearby.",Health Promotion Board (HPB),https://www.hpb.gov.sg/healthy-living/physical-activity/walking,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,risk_reversal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:10.318633,85,80,100,70,100,100,100,revise,"[""Either provide a more specific source from HPB (or another credible health organization) that directly supports the '14% reduction' claim for '15 minutes of brisk walking daily', or rephrase the numeric claim to be more general (e.g., 'Regular brisk walking can significantly reduce your cardiovascular disease risk') if the specific percentage cannot be substantiated for that exact duration."", 'If a specific source for the 14% claim is found, update the `source_url` accordingly.']",google/gemini-2.5-flash,2025-11-28T14:39:51.357613
"Did you know prolonged sitting increases your risk of premature death by up to 16%? Sedentary behaviour slows metabolism and impairs glucose regulation, increasing metabolic disease risk even with regular exercise. Set a timer to stand and move for 5 minutes every hour during your workday.",Did you know prolonged sitting increases your risk of premature death by up to 16%?,"Sedentary behaviour slows metabolism and impairs glucose regulation, increasing metabolic disease risk even with regular exercise.",Set a timer to stand and move for 5 minutes every hour during your workday.,Health Promotion Board (HPB),https://www.hpb.gov.sg/healthy-living/physical-activity/sitting-less,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,mechanism_reveal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:16.057372,85,80,100,85,100,100,100,revise,"[""Verify the '16%' numeric claim for premature death directly from the provided HPB source. If it's not explicitly stated, either remove the specific percentage or rephrase it to be more general (e.g., 'increases your risk of chronic diseases and premature death'). If the 16% comes from another credible source, update the source_name and source_url accordingly."", ""If the '16%' cannot be directly attributed to the HPB source, consider using a more general statement about increased mortality risk or referencing the specific chronic disease risks mentioned in the HPB article (e.g., 'increases your risk of chronic diseases like diabetes and heart disease').""]",google/gemini-2.5-flash,2025-11-28T14:39:55.846369
"Did you know a post-lunch 15-minute walk can reduce blood sugar spikes by 30%? Even light activity after eating helps muscles absorb glucose, preventing large post-meal sugar surges that contribute to diabetes. Incorporate a brisk 15-minute walk around your office or a nearby park after your lunch break.",Did you know a post-lunch 15-minute walk can reduce blood sugar spikes by 30%?,"Even light activity after eating helps muscles absorb glucose, preventing large post-meal sugar surges that contribute to diabetes.",Incorporate a brisk 15-minute walk around your office or a nearby park after your lunch break.,American Diabetes Association (ADA) via general medical knowledge,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,mechanism_reveal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:16.057393,85,80,100,60,100,100,100,revise,"[""Strengthen the factual accuracy by either providing a more specific source for the '30% reduction' claim (e.g., a specific study or ADA guideline) or rephrasing the numeric claim to be less precise, such as 'can significantly reduce blood sugar spikes' or 'can reduce blood sugar spikes by up to 30% or more, depending on individual factors and meal composition.'"", ""If a specific source for the 30% claim cannot be found, consider removing the precise percentage and using more general but still impactful language, e.g., 'Did you know a post-lunch 15-minute walk can significantly reduce blood sugar spikes?'""]",google/gemini-2.5-flash,2025-11-28T14:40:00.902366
"Did you know chronic stress can increase your visceral fat (belly fat) by up to 20%? Stress hormones like cortisol promote fat storage around organs, a key risk factor for metabolic syndrome and cardiovascular issues. Practice daily 10-minute mindfulness or deep breathing exercises to manage stress levels effectively.",Did you know chronic stress can increase your visceral fat (belly fat) by up to 20%?,"Stress hormones like cortisol promote fat storage around organs, a key risk factor for metabolic syndrome and cardiovascular issues.",Practice daily 10-minute mindfulness or deep breathing exercises to manage stress levels effectively.,National University Health Group (NUHS) via general medical knowledge,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,mechanism_reveal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:16.057398,65,60,90,40,95,90,95,revise,"[""Provide a specific, citable source for the 'up to 20%' numeric claim regarding visceral fat increase due to chronic stress. If a precise number is not available or widely accepted, consider rephrasing to 'significantly increase' or 'contribute to a substantial increase' to maintain accuracy without a potentially unsubstantiated figure."", 'If a specific NUHS study or publication supports this claim, link directly to it. Otherwise, remove NUHS from the source and attribute to a more general, credible medical body or research if the 20% figure can be substantiated elsewhere.', ""Consider adding a brief phrase to contextualize the '20%' if it's retained, e.g., 'over a certain period' or 'in some individuals'.""]",google/gemini-2.5-flash,2025-11-28T14:40:05.285421
"Did you know insufficient sleep (less than 7 hours) boosts your hunger hormones by 15%? Sleep deprivation disrupts ghrelin and leptin, making you feel hungrier and less satisfied, leading to increased calorie intake. Prioritize 7-8 hours of quality sleep nightly to regulate appetite and support weight management.",Did you know insufficient sleep (less than 7 hours) boosts your hunger hormones by 15%?,"Sleep deprivation disrupts ghrelin and leptin, making you feel hungrier and less satisfied, leading to increased calorie intake.",Prioritize 7-8 hours of quality sleep nightly to regulate appetite and support weight management.,Nature Medicine & Science via general medical knowledge,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,mechanism_reveal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:16.057401,75,70,100,50,90,90,100,revise,"[""Provide a specific, verifiable source (e.g., a research paper, review article) for the 15% numeric claim regarding hunger hormones. If the 15% refers specifically to ghrelin increase or leptin decrease, clarify this in the 'hook' and 'explanation'."", ""If a precise 15% figure for 'hunger hormones' combined cannot be found, consider rephrasing the numeric claim to be more general (e.g., 'significantly boosts hunger hormones') or remove the specific percentage if it's not well-supported by a single, clear study."", ""Strengthen the connection between sleep deprivation, increased calorie intake, and the specific challenges faced by sedentary office workers in the 'explanation' to further enhance relevance for the target cohort.""]",google/gemini-2.5-flash,2025-11-28T14:40:10.749396
"Did you know replacing sugary drinks with water reduces type 2 diabetes risk by 20-30%? Sugary beverages lead to rapid blood sugar spikes, increasing insulin resistance and the burden on your pancreas over time. Swap out one sugary drink daily for plain water or unsweetened tea to improve your metabolic health.",Did you know replacing sugary drinks with water reduces type 2 diabetes risk by 20-30%?,"Sugary beverages lead to rapid blood sugar spikes, increasing insulin resistance and the burden on your pancreas over time.",Swap out one sugary drink daily for plain water or unsweetened tea to improve your metabolic health.,Health Promotion Board (HPB),https://www.hpb.gov.sg/healthy-living/food-and-nutrition/cut-down-on-sugar,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,mechanism_reveal,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:16.057404,90,95,100,85,100,100,100,revise,"[""While the 20-30% figure is plausible and widely cited in general health literature, it would strengthen the insight to either: \n1. Find a more direct source from HPB or a similar reputable health organization that explicitly states this percentage in relation to replacing sugary drinks with water. \n2. Rephrase the 'hook' to be slightly less precise with the percentage if a direct source isn't found, e.g., 'Did you know replacing sugary drinks with water can significantly reduce type 2 diabetes risk?' and then elaborate on the benefits, or attribute the percentage to a broader body of evidence rather than solely HPB if HPB doesn't explicitly state it. \n3. If the 20-30% figure is from a different credible source, update the `source_name` and `source_url` accordingly.""]",google/gemini-2.5-flash,2025-11-28T14:40:15.664057
